Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,Affinity (tot),,pH
50,-12.40484,-0.6643,0,-7.26458,127.5464,14.55058,34.95751083,125.3667,26.95542,30.44549246,116.6379,39.36026,23.90737938,2.1798,8.7287,28.01782811,,12.4048
,,,,,,,,,,,,,,,,,,
Deep rock,Activity (pH = 8.5) Low C and Low H,,,,Phenylalanine+,,,Phenylalanine,,,Phenylalanine,,,,,,,
Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,Affinity (tot),,
°C,,,,,,,,,,,,,,,,,,
300,-10.19062,-0.70003,-3.32234,-8.97456,23.5673,46.87622,-12.78981936,21.2841,57.06684,-19.63431942,14.1159,67.25746,-29.15926404,2.2832,7.1683,-28.73524437,,10.1906
300,-10.19062,-0.70003,-3.32234,-8.97456,23.5673,46.87622,-12.78981936,21.2841,57.06684,-19.63431942,14.1159,67.25746,-29.15926404,2.2832,7.1683,-28.73524437,,10.1906
300,-10.19062,-0.70003,-3.32234,-8.97456,23.5673,46.87622,-12.78981936,21.2841,57.06684,-19.63431942,14.1159,67.25746,-29.15926404,2.2832,7.1683,-28.73524437,,10.1906
300,-10.19062,-0.70003,-3.32234,-8.97456,23.5673,46.87622,-12.78981936,21.2841,57.06684,-19.63431942,14.1159,67.25746,-29.15926404,2.2832,7.1683,-28.73524437,,10.1906
299.999,-10.19062,-0.70003,-3.32235,-8.97455,23.5677,46.8763,-12.78962145,21.2844,57.06692,-19.63416445,14.1162,67.25754,-29.15909245,2.2832,7.1683,-28.73507352,,10.1906
299.997,-10.19061,-0.70003,-3.32238,-8.97453,23.5683,46.87655,-12.78938478,21.2851,57.06716,-19.63384353,14.1168,67.25777,-29.15878767,2.2832,7.1682,-28.73486131,,10.1906
299.991,-10.19059,-0.70003,-3.32246,-8.97446,23.5702,46.8772,-12.78856502,21.287,57.06779,-19.63294114,14.1188,67.25838,-29.15771973,2.2832,7.1682,-28.73380074,,10.1906
299.973,-10.19053,-0.70002,-3.32271,-8.97424,23.5761,46.87903,-12.78593024,21.2929,57.06956,-19.63005849,14.1247,67.26009,-29.15450502,2.2832,7.1681,-28.73069406,,10.1905
299.913,-10.19033,-0.70001,-3.3235,-8.97355,23.5955,46.88525,-12.7773608,21.3123,57.07558,-19.62066281,14.1444,67.26591,-29.14383792,2.2832,7.1678,-28.72036314,,10.1903
299.725,-10.18971,-0.69996,-3.32601,-8.97137,23.6563,46.90466,-12.75046886,21.3731,57.09437,-19.59118581,14.2062,67.28408,-29.11034825,2.2832,7.1669,-28.68788931,,10.1897
299.133,-10.18777,-0.6998,-3.33394,-8.96448,23.8478,46.96594,-12.66594789,21.5647,57.15371,-19.49847809,14.4007,67.34148,-29.00515184,2.2831,7.1639,-28.58602347,,10.1878
297.277,-10.18194,-0.69931,-3.35904,-8.94296,24.4481,47.16052,-12.40330567,22.1652,57.34246,-19.21038395,15.0104,67.5244,-28.6780182,2.2829,7.1548,-28.26889214,,10.1819
