Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,Affinity (tot),,pH
50,-12.34842,-0.67937,-9.95576,-10.50936,41.4392,83.26027,-28.75151601,39.287,95.60869,-38.72052943,30.61,107.95711,-53.17526958,2.1476,8.6815,-53.10617732,,12.3484
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Deep rock,Activity (pH = 11) Low C and Low H,,,,Glutamine+,,,Glutamine,,,Glutamine-,,,,,,,
Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,Affinity (tot),,
°C,,,,,,,,,,,,,,,,,,
300,-10.14359,-0.71921,-3.1763,-12.22858,-3.2035,50.95514,-66.03854491,-6.3744,61.09873,-82.27361924,-12.8447,71.24232,-102.5318296,2.2852,7.356,-101.1750912,,10.1436
300,-10.14359,-0.71921,-3.1763,-12.22858,-3.2035,50.95514,-66.03854491,-6.3744,61.09873,-82.27361924,-12.8447,71.24232,-102.5318296,2.2852,7.356,-101.1750912,,10.1436
300,-10.14359,-0.71921,-3.1763,-12.22858,-3.2035,50.95514,-66.03854491,-6.3744,61.09873,-82.27361924,-12.8447,71.24232,-102.5318296,2.2852,7.356,-101.1750912,,10.1436
300,-10.14359,-0.71921,-3.17631,-12.22858,-3.2035,50.95519,-66.03860588,-6.3744,61.09878,-82.27368021,-12.8447,71.24237,-102.5318906,2.2852,7.356,-101.1751521,,10.1436
299.999,-10.14359,-0.71921,-3.17631,-12.22857,-3.2033,50.95517,-66.0382224,-6.3743,61.09876,-82.27339034,-12.8445,71.24235,-102.5314434,2.2852,7.356,-101.1747155,,10.1436
299.997,-10.14358,-0.71921,-3.17634,-12.22855,-3.203,50.95527,-66.0377481,-6.374,61.09885,-82.27284719,-12.8442,71.24243,-102.5308174,2.2852,7.356,-101.174095,,10.1436
